"","leg_id","full_name","first_name","middle_name","last_name","suffixes","nickname","active","state.x","chamber.x","district.x","party.x","photo_url","created_at","updated_at","type","term","committee_id","committee","subcommittee","start_date","end_date"
"75","TXL000434","Fallon, Pat","Pat","","Fallon","","",TRUE,"tx","lower",106,"Republican","http://www.house.state.tx.us/photos/members/2375.jpg","2013-01-09 00:29:35.684000","2017-06-01 10:38:26.553000","member",85,"","","",NA,""
"76","TXL000436","Frank, James","James","","Frank","","",TRUE,"tx","lower",69,"Republican","http://www.house.state.tx.us/photos/members/2385.jpg","2013-01-09 00:29:35.731000","2017-06-01 10:38:26.653000","member",85,"","","",NA,""
"77","TXL000437","Goldman, Craig","Craig","","Goldman","","",TRUE,"tx","lower",97,"Republican","http://www.house.state.tx.us/photos/members/2395.jpg","2013-01-09 00:29:35.761000","2017-06-01 10:38:26.529000","member",85,"","","",NA,""
"78","TXL000438","González, Mary","Mary","","González","","",TRUE,"tx","lower",75,"Democratic","http://www.house.state.tx.us/photos/members/2410.jpg","2013-01-09 00:29:35.783000","2017-06-01 10:35:57.447000","member",85,"","","",NA,""
"79","TXL000439","Guerra, Bobby","Bobby","","Guerra","","",TRUE,"tx","lower",41,"Democratic","http://www.house.state.tx.us/photos/members/2325.jpg","2013-01-09 00:29:35.798000","2017-06-01 10:35:57.449000","member",85,"","","",NA,""
"80","TXL000441","Kacal, Kyle","Kyle","","Kacal","","",TRUE,"tx","lower",12,"Republican","http://www.house.state.tx.us/photos/members/2445.jpg","2013-01-09 00:29:35.912000","2017-06-01 10:35:57.475000","member",85,"","","",NA,""
"81","TXL000442","King, Ken","Ken","","King","","",TRUE,"tx","lower",88,"Republican","http://www.house.state.tx.us/photos/members/2455.jpg","2013-01-09 00:29:35.950000","2017-06-01 10:38:26.839000","member",85,"","","",NA,""
"82","TXL000443","Klick, Stephanie","Stephanie","","Klick","","",TRUE,"tx","lower",91,"Republican","http://www.house.state.tx.us/photos/members/2460.jpg","2013-01-09 00:29:35.964000","2017-06-01 10:38:26.657000","member",85,"","","",NA,""
"83","TXL000444","Krause, Matt","Matt","","Krause","","",TRUE,"tx","lower",93,"Republican","http://www.house.state.tx.us/photos/members/2465.jpg","2013-01-09 00:29:35.980000","2017-06-01 10:38:26.557000","member",85,"","","",NA,""
"84","TXL000445","Leach, Jeff","Jeff","","Leach","","",TRUE,"tx","lower",67,"Republican","http://www.house.state.tx.us/photos/members/2475.jpg","2013-01-09 00:29:36.017000","2017-06-01 10:38:25.865000","member",85,"","","",NA,""
